Day,Crop_Biomass (kg/ha),Weed_Biomass (kg/ha),Pest_Density (ind/m²),Bat_Population (ind/km²),Soil_Organic_Matter (%)
147,338.68167565197234,77.3851571482449,82.33510204004274,41.94365061910437,2.3724599828152146
148,338.1656392569898,77.5886687340861,84.41143542776234,41.90856780351796,2.375512008218014
149,337.5717565948117,77.7836673886189,86.2844254478877,41.87355447451968,2.378571942221546
150,336.9117151618563,77.97028608521791,87.96450704091636,41.83860891438718,2.3816394468975313
151,336.19651163919735,78.14863338721413,89.46395839706946,41.803729542166515,2.384714189150152
152,335.43635722625805,78.31879504447166,90.796179479382,41.76891489742847,2.3877958397705035
153,334.64060443911995,78.48083542445198,91.97508527825806,41.73416362788848,2.390884072603741
154,333.81778172774216,78.63480068022811,93.01462019258588,41.69947447083186,2.3939785636142146
155,332.97557799409896,78.78072020020656,93.92839077079945,41.664846244290736,2.3970789902699474
156,332.1208585514918,78.91860835164412,94.72940654813745,41.63027783859699,2.4001850309647055
157,331.2597180513622,79.04846677160552,95.42989050710356,41.59576820614925,2.4032963644119816
158,330.3975355725514,79.17028635470524,96.04116976932536,41.56131635323915,2.4064126691737497
159,329.53903313014496,79.28404908609552,96.57362363309505,41.52692133304261,2.409533623269837
160,328.6870882502549,79.23821760478351,97.03667388917326,41.491789630239616,2.4126471497148496
161,327.8441722496769,78.89472450401239,97.43880602603018,41.455196447025756,2.4157356085685424
162,327.01515708059367,78.46366829194338,97.78761170904234,41.418234953352105,2.4188027979803377
163,326.2026929269076,77.94151649468076,98.08984488954651,41.380879163288384,2.421845504907749
164,325.4089942518477,77.31789614032414,98.35148566739352,41.34306441007749,2.4248591547623906
165,324.63812808825094,76.58673039986317,98.36976313381952,41.3037451182497,2.4278359574985697
166,324.005688949912,75.71222652457853,96.10247747497178,41.25162342565163,2.4307256949152354
167,323.5740854422715,74.7023413727837,93.43965847911666,41.19449686680427,2.4335475924095054
168,323.27396754760343,73.60673714696703,90.68338478574049,41.13480150632975,2.4363250649007897
169,323.12363421509235,72.41732825809397,87.8034717290601,41.072034835446566,2.439049867988276
170,323.1624151126918,71.1169639828783,84.7662139960763,41.00532619380034,2.441706350186418
171,323.3989489589447,69.71218498315028,81.56909099123347,40.934444057077386,2.444289431956641
172,323.84200414207896,68.2121173775588,78.21892905992937,40.85920485709452,2.4467946046818345
173,324.5001643244626,66.62828999237844,74.73193521720708,40.77948405444729,2.4492180659057747
174,325.3814003790729,64.97432274788746,71.13291174109219,40.695226368008555,2.4515568450129206
175,326.4926762273739,63.26550673834142,67.45403929413091,40.60645457992139,2.4538089063238346
176,327.8396124730305,61.518301731411746,63.733280817112146,40.51327635910809,2.4559732237788214
177,329.426061582388,59.74842347849983,60.00926562674618,40.41586905268514,2.458049752451535
178,331.25472373850454,57.974110393073474,56.32869601649603,40.31452887921055,2.4600394954055456
179,333.32603167769236,56.21260398317076,52.73632177197632,40.209638843046804,2.461944571109106
180,335.63824591961935,54.479305332945145,49.27238123056669,40.10165727364796,2.463768085148601
181,338.1879413313917,52.78846409338046,45.97395572619672,39.99112123460112,2.4655140067620933
182,340.9700077509863,51.15258682228371,42.872817415414225,39.87863247825016,2.4671870629772163
183,343.9778315195178,49.58221496069555,39.994572684284066,39.76484352918473,2.468792598896398
184,347.20353765455036,48.0858055638579,37.358388327254076,39.65044167665918,2.470336423840009
185,350.63826026576305,46.669787826525614,34.97738230714802,39.53613123907211,2.471824644323061
186,354.27227070956206,45.33839202097684,32.85851437099272,39.422616880910105,2.4732635337318563
187,358.09528490819764,44.093922930639955,31.00394792918022,39.3105841258743,2.474659350672383
188,362.09665102943336,42.93698475820572,29.412238457277684,39.20068193638815,2.4760181934986774
189,366.2654178518592,41.86660737720457,28.079178734434677,39.09350782258103,2.477345888590095
190,370.5904172532435,40.88045296474565,26.99890406731431,38.98959295487532,2.478647872970581
191,375.0603001787525,39.97508620306929,26.164910942978263,38.889394040443676,2.479929124648156
192,379.6635137854826,39.14619345049113,25.570873993439086,38.793285435650404,2.4811941000910243
193,384.38823847951096,38.38876625242759,25.21127000914335,38.70155276151153,2.4824466829490324
194,389.2222988122932,37.69730560340448,25.081842581775547,38.614391649540075,2.483690165110247
195,394.153050984627,37.06600986266331,25.179872873922605,38.53190956613824,2.484927248183813
196,399.1672565826346,36.488936363631275,25.504250998400376,38.45413004642966,2.4861600606507905
197,404.2509553739515,35.96014301700194,26.055363750976028,38.380999270797666,2.487390189577882
198,409.3893490690637,35.473809712246705,26.83480504587684,38.31239452064798,2.488618723998808
199,414.5667090933654,35.02433974612817,27.8449165874844,38.2481340044776,2.489846306922309
200,419.7673917096408,34.64994573275478,29.088169620209094,38.1884703697685,2.491080228627314
201,424.9747764416772,34.38825380506416,30.56640564436347,38.13361495921762,2.4923292844384997
202,430.1683379411922,34.154854597659245,32.279965546098126,38.08239939981878,2.493583997876025
203,435.3277432259037,33.908183911733516,34.22675233965377,38.03409637392306,2.4948377322007493
204,440.43324664591347,33.654547396826224,36.40129103184212,37.9884929473951,2.496089898171426
205,445.4744245383939,33.39496340244284,38.78843811403773,37.94525049106487,2.4973403458598984
206,450.3854544104615,33.12831959380095,42.212320393907405,37.912765298996376,2.4986140542139683
207,455.09234975795147,32.855369221040604,45.911277291828874,37.88239145359927,2.4998826254387336
208,459.62056886456884,32.57766352659753,49.64687264693407,37.85207674329881,2.5011412937026862
209,463.9414401103663,32.295070188427694,53.386492609718495,37.82182288462224,2.5023887293740064
210,468.04925458593186,32.008057631410104,57.08856739062087,37.791624576734485,2.5036247465330588
